,lkmin,lkmax,ltmin,ltmax
0,-188.0,432.0,-90.0,333.0
1,-194.0,705.0,-106.0,241.0
2,-161.0,404.0,-89.0,252.0
3,-201.0,530.0,-122.0,257.0
4,-136.0,273.0,-79.0,219.0
5,-277.0,2553.0,-184.0,587.0
6,-149.0,256.0,-70.0,205.0
7,-136.0,225.0,-73.0,123.0
8,-139.0,212.0,-134.0,231.0
9,-145.0,497.0,-76.0,291.0
10,-164.0,455.0,-88.0,361.0
11,-149.0,247.0,-72.0,215.0
12,-107.0,217.0,-75.0,196.0
13,-146.0,512.0,-49.0,292.0
14,-182.0,419.0,-55.0,442.0
15,-120.0,520.0,-70.0,300.0
16,-127.0,307.0,-95.0,341.0
17,-123.0,300.0,-44.0,268.0
18,-165.0,776.0,-88.0,639.0
19,-131.0,232.0,-55.0,210.0
20,-137.0,507.0,-83.0,344.0
21,-211.0,429.0,-95.0,337.0
22,-157.0,268.0,-55.0,252.0
23,-135.0,307.0,-86.0,235.0
24,-171.0,1110.0,-131.0,663.0
25,-154.0,881.0,-95.0,291.0
26,-234.0,877.0,-121.0,287.0
27,-139.0,217.0,-69.0,279.0
28,-110.0,234.0,-67.0,573.0
29,-164.0,244.0,-81.0,273.0
30,-116.0,300.0,-60.0,239.0
31,-140.0,324.0,-74.0,248.0
32,-183.0,330.0,-120.0,284.0
33,-158.0,248.0,-84.0,210.0
34,-150.0,952.0,-78.0,164.0
35,-171.0,313.0,-96.0,249.0
36,-125.0,427.0,-46.0,101.0
37,-122.0,246.0,-60.0,183.0
38,-145.0,284.0,-71.0,230.0
39,-127.0,1231.0,-69.0,509.0
40,-205.0,334.0,-198.0,288.0
41,-131.0,235.0,-56.0,214.0
42,-120.0,291.0,-71.0,202.0
43,-121.0,311.0,-74.0,299.0
44,-130.0,180.0,-80.0,149.0
45,-127.0,204.0,-76.0,286.0
46,-132.0,373.0,-66.0,270.0
47,-190.0,375.0,-115.0,331.0
48,-143.0,293.0,-88.0,223.0
49,-142.0,221.0,-91.0,214.0
50,-185.0,341.0,-153.0,278.0
51,-179.0,540.0,-114.0,1075.0
52,-159.0,240.0,-53.0,289.0
53,-136.0,245.0,-96.0,230.0
54,-172.0,248.0,-127.0,225.0
55,-128.0,237.0,-61.0,236.0
56,-129.0,271.0,-74.0,182.0
57,-157.0,661.0,-72.0,233.0
58,-101.0,163.0,-61.0,147.0
59,-123.0,179.0,-69.0,138.0
60,-192.0,1443.0,-149.0,314.0
61,-128.0,239.0,-71.0,212.0
62,-181.0,247.0,-96.0,216.0
63,-196.0,363.0,-151.0,274.0
64,-181.0,292.0,-162.0,436.0
65,-199.0,337.0,-122.0,251.0
66,-141.0,310.0,-74.0,274.0
67,-114.0,308.0,-58.0,231.0
68,-166.0,504.0,-84.0,356.0
69,-134.0,338.0,-55.0,230.0
70,-128.0,235.0,-108.0,1011.0
71,-77.0,236.0,-40.0,204.0
